lat,lon,Place
49.0362,-122.3247,"Abbotsford, Canada"
49.0362,-118.4245,"Grand Forks, Canada"
48.9289,-117.8306,"Northport, WA"
48.7835,-122.3357,"Dewey, WA"
48.7826,-121.7994,"Mt. Baker, WA"
48.5767,-122.9509,"Shaw Island, WA"
48.5085,-117.3252,"Rudy, WA"
48.4093,-123.5716,"Metchosin, Canada"
48.0139,-123.4453,"Port Angeles, WA"
47.9735,-122.2038,"Everett,  WA"
47.8695,-118.8001,"Wilbur, WA"
47.6748,-117.3698,"Spokane, WA"
47.6202,-122.14,"Bellevue, WA"
47.6155,-122.2917,"Seattle, WA"
47.559,-122.7195,"Gorst, WA"
47.5053,-121.8406,"Snoqualmie, WA"
47.4189,-120.3032,"Wenatchee, WA"
47.3855,-122.1983,"Kent, WA"
47.2402,-122.4345,"Tacoma, WA"
47.1095,-119.232,"Moses Lake, WA"
47.0347,-122.863,"Olympia, WA"
46.4134,-117.0293,"Lewiston, ID"
46.2199,-119.0837,"Kennewick, WA"
46.1704,-123.7804,"Navy Heights, OR"
46.1514,-122.8191,"Kelso, WA"
46.0562,-118.3476,"Walla Walla, WA"
45.4969,-122.5938,"Portland, OR"
